
IANA Time Zone 	UTC offset (STD) 	UTC offset (DST) 	Abbreviation (STD) 	Abbreviation (DST)


Africa/Abidjan 	+00:00 		GMT
Africa/Accra 	+00:00 		GMT
Africa/Addis_Ababa 	+03:00 		EAT
Africa/Algiers 	+01:00 		CET
Africa/Asmara 	+03:00 		EAT
Africa/Asmera 	+03:00 		EAT
Africa/Bamako 	+00:00 		GMT
Africa/Bangui 	+01:00 		WAT
Africa/Banjul 	+00:00 		GMT
Africa/Bissau 	+00:00 		GMT
Africa/Blantyre 	+02:00 		CAT
Africa/Brazzaville 	+01:00 		WAT
Africa/Bujumbura 	+02:00 		CAT
Africa/Cairo 	+02:00 	+03:00 	EET 	EEST
Africa/Casablanca 	+01:00 	+00:00 	+01 	+00
Africa/Ceuta 	+01:00 	+02:00 	CET 	CEST
Africa/Conakry 	+00:00 		GMT
Africa/Dakar 	+00:00 		GMT
Africa/Dar_es_Salaam 	+03:00 		EAT
Africa/Djibouti 	+03:00 		EAT
Africa/Douala 	+01:00 		WAT
Africa/El_Aaiun 	+01:00 	+00:00 	+01 	+00
Africa/Freetown 	+00:00 		GMT
Africa/Gaborone 	+02:00 		CAT
Africa/Harare 	+02:00 		CAT
Africa/Johannesburg 	+02:00 		SAST
Africa/Juba 	+02:00 		CAT
Africa/Kampala 	+03:00 		EAT
Africa/Khartoum 	+02:00 		CAT
Africa/Kigali 	+02:00 		CAT
Africa/Kinshasa 	+01:00 		WAT
Africa/Lagos 	+01:00 		WAT
Africa/Libreville 	+01:00 		WAT
Africa/Lome 	+00:00 		GMT
Africa/Luanda 	+01:00 		WAT
Africa/Lubumbashi 	+02:00 		CAT
Africa/Lusaka 	+02:00 		CAT
Africa/Malabo 	+01:00 		WAT
Africa/Maputo 	+02:00 		CAT
Africa/Maseru 	+02:00 		SAST
Africa/Mbabane 	+02:00 		SAST
Africa/Mogadishu 	+03:00 		EAT
Africa/Monrovia 	+00:00 		GMT
Africa/Nairobi 	+03:00 		EAT
Africa/Ndjamena 	+01:00 		WAT
Africa/Niamey 	+01:00 		WAT
Africa/Nouakchott 	+00:00 		GMT
Africa/Ouagadougou 	+00:00 		GMT
Africa/Porto-Novo 	+01:00 		WAT
Africa/Sao_Tome 	+00:00 		GMT
Africa/Timbuktu 	+00:00 		GMT
Africa/Tripoli 	+02:00 		EET
Africa/Tunis 	+01:00 		CET
Africa/Windhoek 	+02:00 		CAT
America/Adak 	-10:00 	-09:00 	HST 	HDT
America/Anchorage 	-09:00 	-08:00 	AKST 	AKDT
America/Anguilla 	-04:00 		AST
America/Antigua 	-04:00 		AST
America/Araguaina 	-03:00 		-03
America/Argentina/Buenos_Aires 	-03:00 		-03
America/Argentina/Catamarca 	-03:00 		-03
America/Argentina/ComodRivadavia 	-03:00 		-03
America/Argentina/Cordoba 	-03:00 		-03
America/Argentina/Jujuy 	-03:00 		-03
America/Argentina/La_Rioja 	-03:00 		-03
America/Argentina/Mendoza 	-03:00 		-03
America/Argentina/Rio_Gallegos 	-03:00 		-03
America/Argentina/Salta 	-03:00 		-03
America/Argentina/San_Juan 	-03:00 		-03
America/Argentina/San_Luis 	-03:00 		-03
America/Argentina/Tucuman 	-03:00 		-03
America/Argentina/Ushuaia 	-03:00 		-03
America/Aruba 	-04:00 		AST
America/Asuncion 	-04:00 	-03:00 	-04 	-03
America/Atikokan 	-05:00 		EST
America/Atka 	-10:00 	-09:00 	HST 	HDT
America/Bahia 	-03:00 		-03
America/Bahia_Banderas 	-06:00 		CST
America/Barbados 	-04:00 		AST
America/Belem 	-03:00 		-03
America/Belize 	-06:00 		CST
America/Blanc-Sablon 	-04:00 		AST
America/Boa_Vista 	-04:00 		-04
America/Bogota 	-05:00 		-05
America/Boise 	-07:00 	-06:00 	MST 	MDT
America/Buenos_Aires 	-03:00 		-03
America/Cambridge_Bay 	-07:00 	-06:00 	MST 	MDT
America/Campo_Grande 	-04:00 		-04
America/Cancun 	-05:00 		EST
America/Caracas 	-04:00 		-04
America/Catamarca 	-03:00 		-03
America/Cayenne 	-03:00 		-03
America/Cayman 	-05:00 		EST
America/Chicago 	-06:00 	-05:00 	CST 	CDT
America/Chihuahua 	-06:00 		CST
America/Ciudad_Juarez 	-07:00 	-06:00 	MST 	MDT
America/Coral_Harbour 	-05:00 		EST
America/Cordoba 	-03:00 		-03
America/Costa_Rica 	-06:00 		CST
America/Creston 	-07:00 		MST
America/Cuiaba 	-04:00 		-04
America/Curacao 	-04:00 		AST
America/Danmarkshavn 	+00:00 		GMT
America/Dawson 	-07:00 		MST
America/Dawson_Creek 	-07:00 		MST
America/Denver 	-07:00 	-06:00 	MST 	MDT
America/Detroit 	-05:00 	-04:00 	EST 	EDT
America/Dominica 	-04:00 		AST
America/Edmonton 	-07:00 	-06:00 	MST 	MDT
America/Eirunepe 	-05:00 		-05
America/El_Salvador 	-06:00 		CST
America/Ensenada 	-08:00 	-07:00 	PST 	PDT
America/Fort_Nelson 	-07:00 		MST
America/Fort_Wayne 	-05:00 	-04:00 	EST 	EDT
America/Fortaleza 	-03:00 		-03
America/Glace_Bay 	-04:00 	-03:00 	AST 	ADT
America/Godthab 	-02:00 	-01:00 	-02 	-01
America/Goose_Bay 	-04:00 	-03:00 	AST 	ADT
America/Grand_Turk 	-05:00 	-04:00 	EST 	EDT
America/Grenada 	-04:00 		AST
America/Guadeloupe 	-04:00 		AST
America/Guatemala 	-06:00 		CST
America/Guayaquil 	-05:00 		-05
America/Guyana 	-04:00 		-04
America/Halifax 	-04:00 	-03:00 	AST 	ADT
America/Havana 	-05:00 	-04:00 	CST 	CDT
America/Hermosillo 	-07:00 		MST
America/Indiana/Indianapolis 	-05:00 	-04:00 	EST 	EDT
America/Indiana/Knox 	-06:00 	-05:00 	CST 	CDT
America/Indiana/Marengo 	-05:00 	-04:00 	EST 	EDT
America/Indiana/Petersburg 	-05:00 	-04:00 	EST 	EDT
America/Indiana/Tell_City 	-06:00 	-05:00 	CST 	CDT
America/Indiana/Vevay 	-05:00 	-04:00 	EST 	EDT
America/Indiana/Vincennes 	-05:00 	-04:00 	EST 	EDT
America/Indiana/Winamac 	-05:00 	-04:00 	EST 	EDT
America/Indianapolis 	-05:00 	-04:00 	EST 	EDT
America/Inuvik 	-07:00 	-06:00 	MST 	MDT
America/Iqaluit 	-05:00 	-04:00 	EST 	EDT
America/Jamaica 	-05:00 		EST
America/Jujuy 	-03:00 		-03
America/Juneau 	-09:00 	-08:00 	AKST 	AKDT
America/Kentucky/Louisville 	-05:00 	-04:00 	EST 	EDT
America/Kentucky/Monticello 	-05:00 	-04:00 	EST 	EDT
America/Knox_IN 	-06:00 	-05:00 	CST 	CDT
America/Kralendijk 	-04:00 		AST
America/La_Paz 	-04:00 		-04
America/Lima 	-05:00 		-05
America/Los_Angeles 	-08:00 	-07:00 	PST 	PDT
America/Louisville 	-05:00 	-04:00 	EST 	EDT
America/Lower_Princes 	-04:00 		AST
America/Maceio 	-03:00 		-03
America/Managua 	-06:00 		CST
America/Manaus 	-04:00 		-04
America/Marigot 	-04:00 		AST
America/Martinique 	-04:00 		AST
America/Matamoros 	-06:00 	-05:00 	CST 	CDT
America/Mazatlan 	-07:00 		MST
America/Mendoza 	-03:00 		-03
America/Menominee 	-06:00 	-05:00 	CST 	CDT
America/Merida 	-06:00 		CST
America/Metlakatla 	-09:00 	-08:00 	AKST 	AKDT
America/Mexico_City 	-06:00 		CST
America/Miquelon 	-03:00 	-02:00 	-03 	-02
America/Moncton 	-04:00 	-03:00 	AST 	ADT
America/Monterrey 	-06:00 		CST
America/Montevideo 	-03:00 		-03
America/Montreal 	-05:00 	-04:00 	EST 	EDT
America/Montserrat 	-04:00 		AST
America/Nassau 	-05:00 	-04:00 	EST 	EDT
America/New_York 	-05:00 	-04:00 	EST 	EDT
America/Nipigon 	-05:00 	-04:00 	EST 	EDT
America/Nome 	-09:00 	-08:00 	AKST 	AKDT
America/Noronha 	-02:00 		-02
America/North_Dakota/Beulah 	-06:00 	-05:00 	CST 	CDT
America/North_Dakota/Center 	-06:00 	-05:00 	CST 	CDT
America/North_Dakota/New_Salem 	-06:00 	-05:00 	CST 	CDT
America/Nuuk 	-02:00 	-01:00 	-02 	-01
America/Ojinaga 	-06:00 	-05:00 	CST 	CDT
America/Panama 	-05:00 		EST
America/Pangnirtung 	-05:00 	-04:00 	EST 	EDT
America/Paramaribo 	-03:00 		-03
America/Phoenix 	-07:00 		MST
America/Port_of_Spain 	-04:00 		AST
America/Port-au-Prince 	-05:00 	-04:00 	EST 	EDT
America/Porto_Acre 	-05:00 		-05
America/Porto_Velho 	-04:00 		-04
America/Puerto_Rico 	-04:00 		AST
America/Punta_Arenas 	-03:00 		-03
America/Rainy_River 	-06:00 	-05:00 	CST 	CDT
America/Rankin_Inlet 	-06:00 	-05:00 	CST 	CDT
America/Recife 	-03:00 		-03
America/Regina 	-06:00 		CST
America/Resolute 	-06:00 	-05:00 	CST 	CDT
America/Rio_Branco 	-05:00 		-05
America/Rosario 	-03:00 		-03
America/Santa_Isabel 	-08:00 	-07:00 	PST 	PDT
America/Santarem 	-03:00 		-03
America/Santiago 	-04:00 	-03:00 	-04 	-03
America/Santo_Domingo 	-04:00 		AST
America/Sao_Paulo 	-03:00 		-03
America/Scoresbysund 	-02:00 	-01:00 	-02 	-01
America/Shiprock 	-07:00 	-06:00 	MST 	MDT
America/Sitka 	-09:00 	-08:00 	AKST 	AKDT
America/St_Barthelemy 	-04:00 		AST
America/St_Johns 	-03:30 	-02:30 	NST 	NDT
America/St_Kitts 	-04:00 		AST
America/St_Lucia 	-04:00 		AST
